event,path,timestamp
modified,/etc/rc4.d/S01kerneloops,2017-05-19T13:21:14
modified,/etc/init.d/kerneloops,2017-05-19T13:21:14
modified,/etc/rc3.d/S01kerneloops,2017-05-19T13:21:14
modified,/etc/rc1.d/K01kerneloops,2017-05-19T13:21:14
modified,/etc/rc0.d/K01kerneloops,2017-05-19T13:21:14
modified,/etc/rc2.d/S01kerneloops,2017-05-19T13:21:14
modified,/etc/rc6.d/K01kerneloops,2017-05-19T13:21:14
modified,/etc/systemd/system/multi-user.target.wants/kerneloops.service,2017-05-19T13:23:04
modified,/etc/systemd/user/sockets.target.wants/gpg-agent.socket,2017-08-28T10:22:54
modified,/etc/systemd/user/sockets.target.wants/gpg-agent-extra.socket,2017-08-28T10:22:54
modified,/etc/systemd/user/sockets.target.wants/dirmngr.socket,2017-08-28T10:22:54
modified,/etc/systemd/user/sockets.target.wants/gpg-agent-browser.socket,2017-08-28T10:22:54
modified,/etc/systemd/user/sockets.target.wants/gpg-agent-ssh.socket,2017-08-28T10:22:54
modified,/etc/alternatives/x-cursor-theme,2017-12-25T01:02:14
modified,/etc/rc5.d/S01saned,2018-04-15T09:54:07
modified,/etc/rc4.d/S01saned,2018-04-15T09:54:07
modified,/etc/init.d/saned,2018-04-15T09:54:07
modified,/etc/rc3.d/S01saned,2018-04-15T09:54:07
modified,/etc/rc1.d/K01saned,2018-04-15T09:54:07
modified,/etc/rc0.d/K01saned,2018-04-15T09:54:07
modified,/etc/rc2.d/S01saned,2018-04-15T09:54:07
modified,/etc/rc6.d/K01saned,2018-04-15T09:54:07
modified,/etc/ghostscript/cidfmap.d/90gs-cjk-resource-japan2.conf,2018-05-01T14:31:36
modified,/etc/ghostscript/cidfmap.d/90gs-cjk-resource-korea1.conf,2018-05-01T14:31:36
modified,/etc/ghostscript/cidfmap.d/90gs-cjk-resource-gb1.conf,2018-05-01T14:31:36
modified,/etc/ghostscript/cidfmap.d/90gs-cjk-resource-cns1.conf,2018-05-01T14:31:36
modified,/etc/ghostscript/cidfmap.d/90gs-cjk-resource-japan1.conf,2018-05-01T14:31:36
modified,/etc/rc5.d/S01whoopsie,2018-08-10T22:39:49
modified,/etc/rc4.d/S01whoopsie,2018-08-10T22:39:49
